pryv8boi,anon-cs-nc,309.400146,1702039542416.511719,1702039542107.111572,520.600098,433
faelix-uk-ipv4,anon-openinternet,305.500000,1702039542416.317871,1702039542110.817871,520.600098,434
sby-limotelu,anon-gombadi-singapore,291.550049,1702039542414.330078,1702039542122.780029,520.600098,441
scaleway-fr,anon-cs-il,301.100098,1702039542415.638184,1702039542114.538086,520.600098,442
scaleway-fr,anon-cs-il,301.100098,1702039542415.709473,1702039542114.609375,520.600098,442
dnswarden-uncensor-dc-swiss,anon-cs-nyc1,305.450195,1702039542416.247070,1702039542110.796875,520.600098,442
dnswarden-uncensor-dc-swiss,anon-cs-nc,310.000000,1702039542416.782227,1702039542106.782227,520.600098,442
dnswarden-uncensor-dc-swiss,anon-cs-nc,310.000000,1702039542416.704834,1702039542106.704834,520.600098,444
faelix-uk-ipv4,anon-inconnu,295.000000,1702039542414.864014,1702039542119.864014,520.600098,450
faelix-uk-ipv4,anon-inconnu,295.000000,1702039542414.929688,1702039542119.929688,520.600098,452
dnswarden-uncensor-dc-swiss,anon-cs-nyc1,305.450195,1702039542416.183350,1702039542110.733154,520.600098,451
sth-dnscrypt-se,anon-cs-il,298.100098,1702039542415.499512,1702039542117.399414,520.600098,452
sby-limotelu,anon-gombadi-singapore,291.550049,1702039542414.261963,1702039542122.711914,520.600098,454
sth-dnscrypt-se,anon-cs-il,298.100098,1702039542415.569824,1702039542117.469727,520.600098,458
dnscry.pt-hongkong-ipv4,anon-cs-dus4,281.300049,1702039542396.432129,1702039542115.132080,520.600098,480
scaleway-fr,anon-cs-nc,293.250000,1702039542414.688477,1702039542121.438477,520.600098,463
dnscry.pt-singapore-ipv4,anon-cs-nyc1,283.750000,1702039542413.881104,1702039542130.131104,520.600098,464
scaleway-fr,anon-cs-nc,293.250000,1702039542414.766113,1702039542121.516113,520.600098,466
sth-dnscrypt-se,anon-cs-nc,288.700195,1702039542414.167969,1702039542125.467773,520.600098,469
dct-at1,anon-saldns03-conoha-ipv4,195.400146,1702039542393.592041,1702039542198.191895,520.600098,507
sth-dnscrypt-se,anon-cs-nc,288.700195,1702039542414.098145,1702039542125.397949,520.600098,478
dnscry.pt-libertylake-ipv4,anon-cs-il,255.100098,1702039542392.373047,1702039542137.272949,520.600098,500
dct-ru1,anon-saldns03-conoha-ipv4,156.450195,1702039542387.911865,1702039542231.461670,520.600098,508
serbica,anon-cs-nc,312.550049,1702039542416.983643,1702039542104.433594,520.600098,480
pryv8boi,anon-scaleway-ams,269.950195,1702039542396.523193,1702039542126.572998,520.600098,501
dct-at1,anon-saldns03-conoha-ipv4,195.400146,1702039542394.255127,1702039542198.854980,520.600098,503
dnscry.pt-chicago-ipv4,anon-inconnu,284.300049,1702039542414.036133,1702039542129.736084,520.600098,484
dct-at1,anon-saldns03-conoha-ipv4,195.400146,1702039542393.337646,1702039542197.937500,520.600098,507
ams-dnscrypt-nl,anon-cs-nyc1,284.150146,1702039542413.966309,1702039542129.816162,520.600098,487
dnscry.pt-chicago-ipv4,anon-cs-il,276.000000,1702039542396.960205,1702039542120.960205,520.600098,505
dnscry.pt-sydney-ipv4,anon-inconnu,265.900146,1702039542395.798096,1702039542129.897949,520.600098,506
dct-at1,anon-saldns03-conoha-ipv4,195.400146,1702039542393.980957,1702039542198.580811,520.600098,510
dnscry.pt-sydney-ipv4,anon-cs-sea,273.500000,1702039542396.904053,1702039542123.404053,520.600098,510
dnscry.pt-chicago-ipv4,anon-cs-il,276.000000,1702039542397.078613,1702039542121.078613,520.600098,510
dnscry.pt-atlanta-ipv4,anon-openinternet,277.000000,1702039542397.162842,1702039542120.162842,520.600098,510
dnscry.pt-atlanta-ipv4,anon-openinternet,277.000000,1702039542413.426514,1702039542136.426514,520.600098,495
dnswarden-uncensor-dc-swiss,anon-scaleway-ams,272.600098,1702039542396.778076,1702039542124.177979,520.600098,511
dnscry.pt-sydney-ipv4,anon-cs-sea,273.500000,1702039542396.841309,1702039542123.341309,520.600098,512
pryv8boi,anon-cs-dus1,269.000000,1702039542396.228760,1702039542127.228760,520.600098,514
dnscry.pt-sydney-ipv4,anon-openinternet,280.250000,1702039542413.721924,1702039542133.471924,520.600098,497
pryv8boi,anon-scaleway,263.050049,1702039542395.576172,1702039542132.526123,520.600098,516
dnscry.pt-libertylake-ipv4,anon-cs-il,255.100098,1702039542392.490234,1702039542137.390137,520.600098,520
wevpn-singapore,anon-cs-barcelona,270.250000,1702039542396.583008,1702039542126.333008,520.600098,517
dct-at1,anon-saldns03-conoha-ipv4,195.400146,1702039542394.078369,1702039542198.678223,520.600098,521
wevpn-singapore,anon-serbica,268.800049,1702039542396.146240,1702039542127.346191,520.600098,520
dnswarden-uncensor-dc-swiss,anon-cs-ireland,262.150146,1702039542395.421875,1702039542133.271729,520.600098,525
dnscry.pt-chicago-ipv4,anon-cs-dc,245.800049,1702039542389.646484,1702039542143.846436,520.600098,537
openinternet,anon-saldns02-conoha-ipv4,261.250000,1702039542395.305420,1702039542134.055420,520.600098,534
serbica,anon-cs-swe,256.600098,1702039542394.155762,1702039542137.555664,520.600098,536
dnscry.pt-lasvegas-ipv4,anon-cs-nyc1,255.150146,1702039542392.686523,1702039542137.536377,520.600098,542
dnscry.pt-lasvegas-ipv4,anon-cs-nyc1,255.150146,1702039542393.031982,1702039542137.881836,520.600098,544
dnscry.pt-hongkong-ipv4,anon-cs-czech,260.100098,1702039542418.240479,1702039542158.140381,520.600098,520
dnscry.pt-chicago-ipv4,anon-cs-dc,245.800049,1702039542389.574463,1702039542143.774414,520.600098,550
scaleway-fr,anon-scaleway,248.450195,1702039542391.046875,1702039542142.596680,520.600098,556
dnscry.pt-singapore-ipv4,anon-kama,258.050049,1702039542394.954102,1702039542136.904053,520.600098,530
dnscry.pt-chicago-ipv4,anon-cs-nyc1,242.200195,1702039542389.363525,1702039542147.163330,520.600098,559
dnswarden-uncensor-dc-swiss,anon-sth-se,242.750000,1702039542389.439453,1702039542146.689453,520.600098,559
scaleway-fr,anon-scaleway,248.450195,1702039542390.880859,1702039542142.430664,520.600098,558
sby-limotelu,anon-cs-dus1,245.900146,1702039542389.718262,1702039542143.818115,520.600098,561
dnscry.pt-singapore-ipv4,anon-dnscrypt.uk-ipv4,259.800049,1702039542395.309570,1702039542135.509521,520.600098,556
faelix-ch-ipv4,anon-kama,239.800049,1702039542388.799561,1702039542148.999512,520.600098,563
dnswarden-uncensor-dc-swiss,anon-cs-pt,240.300049,1702039542388.864502,1702039542148.564453,520.600098,565
scaleway-fr,anon-cs-ireland,241.300049,1702039542389.103516,1702039542147.803467,520.600098,567
dnscrypt.ca-2,anon-inconnu,347.550049,1702039542359.004639,1702039542011.454590,520.600098,598
sby-limotelu,anon-cs-dus1,245.900146,1702039542389.791504,1702039542143.891357,520.600098,568
wevpn-singapore,anon-gombadi-chennai,235.050049,1702039542388.198486,1702039542153.148438,520.600098,572
wevpn-singapore,anon-gombadi-chennai,235.050049,1702039542388.272461,1702039542153.222412,520.600098,573
ams-dnscrypt-nl,anon-serbica,242.100098,1702039542389.270996,1702039542147.170898,520.600098,576
dnscry.pt-chicago-ipv4,anon-kama,128.050049,1702039542385.690918,1702039542257.640869,520.600098,586
deffer-dns.au,anon-cs-il,311.500000,1702039542415.198242,1702039542103.698242,520.600098,560
deffer-dns.au,anon-cs-il,311.500000,1702039542416.853760,1702039542105.353760,520.600098,560
dnscry.pt-naaldwijk-ipv4,anon-inconnu,241.050049,1702039542389.012451,1702039542147.962402,520.600098,589
dnscry.pt-munich-ipv4,anon-openinternet,241.500000,1702039542389.191162,1702039542147.691162,520.600098,592
deffer-dns.au,anon-saldns03-conoha-ipv4,297.300049,1702039542415.208252,1702039542117.908203,520.600098,569
deffer-dns.au,anon-cs-tokyo,296.900146,1702039542415.068848,1702039542118.168701,520.600098,570
deffer-dns.au,anon-cs-tokyo,296.900146,1702039542415.001465,1702039542118.101318,520.600098,570
dct-at1,anon-cs-ireland,255.900146,1702039542393.328369,1702039542137.428223,520.600098,593
dnscry.pt-tokyo-ipv4,anon-cs-ireland,202.700195,1702039542396.141113,1702039542193.440918,520.600098,593
plan9dns-nj,anon-kama,227.900146,1702039542416.368164,1702039542188.468018,520.600098,575
dnscry.pt-miami-ipv4,anon-cs-sea,230.200195,1702039542416.697266,1702039542186.497070,520.600098,576
deffer-dns.au,anon-saldns01-conoha-ipv4,297.700195,1702039542415.367676,1702039542117.667480,520.600098,577
faelix-ch-ipv4,anon-cs-swe,227.300049,1702039542416.043457,1702039542188.743408,520.600098,577
deffer-dns.au,anon-saldns01-conoha-ipv4,297.700195,1702039542415.435303,1702039542117.735107,520.600098,579
deffer-dns.au,anon-saldns03-conoha-ipv4,297.300049,1702039542415.293457,1702039542117.993408,520.600098,584
